Question;target
Premise 1: If ((not C and C) or I) then C. Premise 2: It is not the case that R. Premise 3: C. Conclusion : R.;0
Premise 1: It is not the case that (G iff (O iff O)). Premise 2: It is not the case that (Y and not O). Premise 3: O. Conclusion : If G then (G implies Y).;1
Premise 1: Either (not F implies N) or not S. Premise 2: Either (N or not N) or S. Premise 3: It is not the case that N. Conclusion : It is not the case that S.;0
Premise 1: If N then E. Premise 2: If not N then not not not E. Premise 3: It is not the case that not not Y. Conclusion : Y.;0
Premise 1: N. Premise 2: If H then ((H iff T) implies T). Premise 3: Not H if and only if (T and not T). Conclusion : N.;1
Premise 1: If (R implies (R and R)) then R. Premise 2: If not O then (O implies R). Premise 3: It is not the case that (not O implies not R). Conclusion : Either O or O.;0
Premise 1: Not L and (not U iff G). Premise 2: It is not the case that not not U. Premise 3: If not G then U. Conclusion : It is not the case that L.;1
Premise 1: Either (S implies not P) or P. Premise 2: P and not (P implies S). Premise 3: F and S. Conclusion : Either P or S.;1
Premise 1: M. Premise 2: V. Premise 3: It is not the case that V. Conclusion : F.;1
Premise 1: If K then K. Premise 2: B. Premise 3: Not K and T. Conclusion : K.;0
Premise 1: If (not N and N) then not V. Premise 2: If (D iff V) then N. Premise 3: If (D implies D) then D. Conclusion : It is not the case that N.;0
Premise 1: R. Premise 2: R and not B. Premise 3: It is not the case that B. Conclusion : It is not the case that (B and M).;1
Premise 1: If X then not (not X implies X). Premise 2: (not I implies not I) and not X. Premise 3: If not X then X. Conclusion : It is not the case that X.;1
Premise 1: R. Premise 2: Either (not G implies not R) or G. Premise 3: It is not the case that I. Conclusion : Either not not R or not G.;1
Premise 1: Either ((T iff B) or K) or B. Premise 2: If (not B and T) then (B implies B). Premise 3: T. Conclusion : If not B then (B implies T).;1
Premise 1: O and not O. Premise 2: Either (not O implies not H) or O. Premise 3: (H and not X) and (X implies H). Conclusion : It is not the case that H.;1
Premise 1: Not G if and only if not not G. Premise 2: If not S then (G or G). Premise 3: It is not the case that not (S or S). Conclusion : If M then S.;1
Premise 1: (R and not K) and (R and R). Premise 2: It is not the case that G. Premise 3: Either R or G. Conclusion : Either G or R.;1
Premise 1: It is not the case that not J. Premise 2: It is not the case that (Y or (F iff J)). Premise 3: It is not the case that (not J implies (not J or F)). Conclusion : F.;1
Premise 1: S. Premise 2: Either (not B or not not B) or O. Premise 3: O. Conclusion : If not O then O.;1
Premise 1: L and ((W or W) and L). Premise 2: W. Premise 3: (L implies L) if and only if (L and F). Conclusion : Not L and W.;0
Premise 1: K and S. Premise 2: Not not B and (S or S). Premise 3: It is not the case that S. Conclusion : If not S then not K.;1
Premise 1: It is not the case that W. Premise 2: Either not E or (not K or K). Premise 3: It is not the case that (K and E). Conclusion : E.;0
Premise 1: It is not the case that (not A or Y). Premise 2: Either Y or A. Premise 3: A and not (A or Y). Conclusion : Either A or K.;1
Premise 1: Not A and (T and A). Premise 2: Either L or not T. Premise 3: Either (L implies not L) or L. Conclusion : It is not the case that not L.;1
Premise 1: G. Premise 2: Either G or O. Premise 3: If (G iff G) then not O. Conclusion : It is not the case that X.;0
Premise 1: If ((Y or A) iff not A) then Y. Premise 2: If (A iff not J) then (not Y implies not J). Premise 3: A. Conclusion : Either not A or not J.;0
Premise 1: If not D then O. Premise 2: O. Premise 3: O. Conclusion : It is not the case that (not S and D).;0
Premise 1: (C or not Y) and (O or not C). Premise 2: It is not the case that Y. Premise 3: C and C. Conclusion : It is not the case that O.;0
Premise 1: If (A and K) then A. Premise 2: (A and A) and (S or K). Premise 3: Either (A implies (not S iff not K)) or A. Conclusion : (not S and not A) and not S.;0
Premise 1: If V then (not C and L). Premise 2: (not C or C) and (V and C). Premise 3: It is not the case that C. Conclusion : Either (V iff V) or V.;1
Premise 1: Either (not T or not K) or not K. Premise 2: T if and only if not not K. Premise 3: It is not the case that T. Conclusion : Either T or T.;0
Premise 1: Not T and T. Premise 2: It is not the case that (T and not N). Premise 3: It is not the case that N. Conclusion : T.;1
Premise 1: C. Premise 2: If T then not M. Premise 3: It is not the case that M. Conclusion : T.;0
Premise 1: Y and A. Premise 2: Either (not Y and not A) or I. Premise 3: (A implies (A and Y)) and I. Conclusion : Either not Y or A.;1
Premise 1: T. Premise 2: F and not M. Premise 3: Either F or F. Conclusion : If T then not F.;0
Premise 1: It is not the case that O. Premise 2: X. Premise 3: O. Conclusion : O.;1
Premise 1: Either ((not F implies I) or V) or V. Premise 2: Either not (F or I) or V. Premise 3: It is not the case that (V or V). Conclusion : Not V and F.;1
Premise 1: P. Premise 2: H. Premise 3: Either U or (not P implies U). Conclusion : It is not the case that not H.;1
Premise 1: If (J or V) then (J or not V). Premise 2: It is not the case that (J or J). Premise 3: V. Conclusion : If V then not not J.;1
Premise 1: T. Premise 2: H. Premise 3: J and T. Conclusion : T.;1
Premise 1: It is not the case that P. Premise 2: P. Premise 3: If not not C then C. Conclusion : C.;1
Premise 1: If F then (M and (not M implies not S)). Premise 2: M and (S or (not S and S)). Premise 3: It is not the case that (M implies F). Conclusion : It is not the case that (not S or S).;0
Premise 1: If not D then (not D or V). Premise 2: J. Premise 3: Either not V or not J. Conclusion : If D then (J implies V).;0
Premise 1: If (J and not G) then (G iff J). Premise 2: If (not R and G) then (G and R). Premise 3: (G and (not R implies R)) and R. Conclusion : R.;1
Premise 1: If (J implies J) then not B. Premise 2: Either B or R. Premise 3: Either (not B implies R) or (J and not R). Conclusion : J.;0
Premise 1: It is not the case that (not A and (A and T)). Premise 2: Either (T iff A) or not T. Premise 3: Either A or not A. Conclusion : T.;0
Premise 1: If L then (W implies (W implies not H)). Premise 2: (not W and W) and not L. Premise 3: L if and only if ((W implies W) implies W). Conclusion : L.;1
Premise 1: Either not V or V. Premise 2: A. Premise 3: Not A if and only if V. Conclusion : If A then V.;0
Premise 1: If (not U implies U) then (U implies U). Premise 2: C. Premise 3: Either U or (U and U). Conclusion : It is not the case that O.;0
Premise 1: Either G or T. Premise 2: (M or not M) and (not G or not M). Premise 3: Either M or (T implies T). Conclusion : It is not the case that G.;0
Premise 1: Either not B or (P and (P or B)). Premise 2: Either (not V iff B) or not B. Premise 3: P. Conclusion : It is not the case that (B or B).;0
Premise 1: It is not the case that not not P. Premise 2: C. Premise 3: P. Conclusion : Y.;1
Premise 1: Either K or D. Premise 2: It is not the case that D. Premise 3: K. Conclusion : If (T implies K) then T.;0
Premise 1: Either (A and N) or not T. Premise 2: Either T or A. Premise 3: It is not the case that ((A implies not T) or T). Conclusion : N and not not A.;1
Premise 1: If B then I. Premise 2: Either not B or not B. Premise 3: Y and (not Y implies (B implies I)). Conclusion : It is not the case that B.;1
Premise 1: Not C and C. Premise 2: If P then P. Premise 3: C. Conclusion : Either not not R or not C.;1
Premise 1: Not X and not F. Premise 2: It is not the case that ((F or I) implies X). Premise 3: Not F if and only if X. Conclusion : If I then (not X implies not X).;1
Premise 1: It is not the case that (J and not J). Premise 2: R and J. Premise 3: It is not the case that B. Conclusion : It is not the case that R.;0
Premise 1: If D then ((I iff not U) implies D). Premise 2: D. Premise 3: It is not the case that U. Conclusion : It is not the case that (U or not I).;0
Premise 1: Either W or ((J or not E) or J). Premise 2: E. Premise 3: Either W or (E or W). Conclusion : It is not the case that W.;0
Premise 1: Either (C or Y) or (C and K). Premise 2: It is not the case that not Y. Premise 3: K. Conclusion : It is not the case that K.;0
Premise 1: It is not the case that M. Premise 2: W and not G. Premise 3: If (not M and not W) then (not M implies not W). Conclusion : Either W or not G.;1
Premise 1: Not V and G. Premise 2: If (G or (G or I)) then I. Premise 3: It is not the case that ((V implies G) and not V). Conclusion : It is not the case that V.;1
Premise 1: Either not (C and C) or C. Premise 2: C. Premise 3: If (not C implies (R and R)) then C. Conclusion : It is not the case that (C and R).;0
Premise 1: It is not the case that R. Premise 2: It is not the case that R. Premise 3: N. Conclusion : R.;0
Premise 1: It is not the case that C. Premise 2: It is not the case that not S. Premise 3: If (not I and (not C iff C)) then not C. Conclusion : If not C then C.;0
Premise 1: E. Premise 2: R. Premise 3: If ((P implies R) and not P) then not E. Conclusion : Either not P or P.;1
Premise 1: V and not J. Premise 2: It is not the case that J. Premise 3: V. Conclusion : J.;0
Premise 1: It is not the case that B. Premise 2: T. Premise 3: T. Conclusion : N.;0
Premise 1: It is not the case that K. Premise 2: It is not the case that W. Premise 3: If not K then not H. Conclusion : It is not the case that not K.;0
Premise 1: (X and X) and P. Premise 2: If X then ((not P and E) and not X). Premise 3: P and E. Conclusion : It is not the case that (X and E).;1
Premise 1: Either not not U or not C. Premise 2: If (U and not U) then U. Premise 3: It is not the case that C. Conclusion : If J then J.;1
Premise 1: It is not the case that not not O. Premise 2: (not Y and not O) if and only if (Y or Y). Premise 3: Not H and not O. Conclusion : It is not the case that H.;1
Premise 1: Either O or (X and O). Premise 2: If X then not O. Premise 3: It is not the case that (O or C). Conclusion : It is not the case that not X.;1
Premise 1: (N or N) and not T. Premise 2: It is not the case that B. Premise 3: Either N or not N. Conclusion : It is not the case that (N and not B).;0
Premise 1: P. Premise 2: Either R or ((P implies A) implies not R). Premise 3: If A then P. Conclusion : (not P implies A) and not R.;0
Premise 1: If E then (K or V). Premise 2: Either ((K and E) or E) or V. Premise 3: E. Conclusion : Not E if and only if (not E and not V).;1
Premise 1: K if and only if not K. Premise 2: If not not S then not F. Premise 3: Not F and F. Conclusion : It is not the case that K.;1
Premise 1: Not N and U. Premise 2: N and not U. Premise 3: It is not the case that not (U or U). Conclusion : It is not the case that (not G and N).;1
Premise 1: Either D or (not I or D). Premise 2: It is not the case that not I. Premise 3: Not S and D. Conclusion : If not I then D.;1
Premise 1: If D then (not S or not D). Premise 2: K. Premise 3: If not D then not K. Conclusion : K.;1
Premise 1: It is not the case that (V implies not V). Premise 2: V. Premise 3: It is not the case that F. Conclusion : V and M.;0
Premise 1: F. Premise 2: F. Premise 3: It is not the case that F. Conclusion : It is not the case that not T.;1
Premise 1: It is not the case that (G or not G). Premise 2: G. Premise 3: It is not the case that M. Conclusion : M and (M or M).;1
Premise 1: Either C or O. Premise 2: C. Premise 3: Either not not C or U. Conclusion : If O then O.;1
Premise 1: It is not the case that (E or E). Premise 2: Either (U implies U) or U. Premise 3: M. Conclusion : It is not the case that not not U.;0
Premise 1: I. Premise 2: If not D then (D implies D). Premise 3: If (V or D) then not I. Conclusion : If not D then I.;1
Premise 1: R and I. Premise 2: I. Premise 3: It is not the case that not (R or I). Conclusion : Either not I or F.;0
Premise 1: W and H. Premise 2: It is not the case that (W or W). Premise 3: If not O then not W. Conclusion : O and H.;1
Premise 1: It is not the case that not not O. Premise 2: Not A and U. Premise 3: If A then O. Conclusion : If U then O.;0
Premise 1: It is not the case that not O. Premise 2: O. Premise 3: Either C or (O and not C). Conclusion : T.;0
Premise 1: It is not the case that W. Premise 2: It is not the case that not W. Premise 3: It is not the case that W. Conclusion : O.;1
Premise 1: E and (not M or E). Premise 2: S. Premise 3: It is not the case that S. Conclusion : M.;1
Premise 1: If (not K iff K) then not Y. Premise 2: If not K then not K. Premise 3: Either K or (K or Y). Conclusion : It is not the case that Y.;0
Premise 1: Either D or T. Premise 2: Either (not D implies D) or (T iff not T). Premise 3: ((not P and P) or D) if and only if D. Conclusion : P and D.;0
Premise 1: X. Premise 2: Either J or ((J and D) and not J). Premise 3: It is not the case that not X. Conclusion : It is not the case that X.;0
Premise 1: It is not the case that J. Premise 2: Either J or (not A or A). Premise 3: If J then (not W implies not W). Conclusion : It is not the case that J.;1
Premise 1: It is not the case that Y. Premise 2: Either M or M. Premise 3: If not M then (not M iff not H). Conclusion : If Y then (M and M).;1
Premise 1: F. Premise 2: If (not not M implies F) then not M. Premise 3: M. Conclusion : Not F and (not F or not M).;1
Premise 1: Not U and (not H and not K). Premise 2: U and not H. Premise 3: Not not H and H. Conclusion : If not H then U.;1
Premise 1: If H then R. Premise 2: If not L then not H. Premise 3: If not H then (R implies not not L). Conclusion : It is not the case that not H.;0
Premise 1: It is not the case that E. Premise 2: E. Premise 3: It is not the case that E. Conclusion : If not O then not O.;1
Premise 1: Either T or not F. Premise 2: It is not the case that not T. Premise 3: O. Conclusion : T.;1
Premise 1: If not G then not (G and Y). Premise 2: If (G implies (not Y and Y)) then G. Premise 3: If I then (G or not I). Conclusion : It is not the case that (not G and I).;1
Premise 1: If (S and K) then C. Premise 2: It is not the case that not (K implies K). Premise 3: S. Conclusion : (S iff C) and C.;0
Premise 1: Either (R and R) or (B and not L). Premise 2: Not (not B or R) and L. Premise 3: It is not the case that R. Conclusion : Either L or (R and not R).;1
Premise 1: It is not the case that C. Premise 2: It is not the case that (X implies J). Premise 3: Either (J and not C) or (not J and not C). Conclusion : It is not the case that X.;0
Premise 1: S. Premise 2: Not K if and only if S. Premise 3: It is not the case that ((not F implies F) or S). Conclusion : It is not the case that S.;1
Premise 1: (not C implies P) if and only if not not C. Premise 2: P and (Y implies not Y). Premise 3: It is not the case that not Y. Conclusion : It is not the case that (P implies not P).;1
Premise 1: Either C or U. Premise 2: C. Premise 3: It is not the case that (not C and U). Conclusion : K and K.;0
Premise 1: (not H or not not I) and I. Premise 2: (V and I) and H. Premise 3: Either I or ((not H implies V) or V). Conclusion : H and V.;1
Premise 1: It is not the case that D. Premise 2: Not O and not O. Premise 3: It is not the case that O. Conclusion : Either S or O.;0
Premise 1: Either not not R or (M implies R). Premise 2: (E and E) if and only if not not E. Premise 3: (E or R) and (not E implies E). Conclusion : It is not the case that (not E or R).;0
Premise 1: It is not the case that ((U iff G) implies not U). Premise 2: U and G. Premise 3: U and (not G and L). Conclusion : It is not the case that U.;1
Premise 1: Not E if and only if not not J. Premise 2: Either (X implies not J) or (J or E). Premise 3: (E and J) and (X and J). Conclusion : It is not the case that E.;1
Premise 1: If ((not T implies not F) and not F) then not T. Premise 2: It is not the case that not F. Premise 3: If (not T iff F) then not T. Conclusion : It is not the case that (T and not J).;0
Premise 1: Either (I or I) or (T or not T). Premise 2: It is not the case that T. Premise 3: If not T then not not T. Conclusion : Not I if and only if F.;1
Premise 1: (K and X) and D. Premise 2: If D then (K implies K). Premise 3: Either (not X and not K) or not D. Conclusion : If not X then D.;1
Premise 1: It is not the case that not (not D or not N). Premise 2: It is not the case that X. Premise 3: (D implies N) and not D. Conclusion : X.;0
Premise 1: Either not X or (L or (not L and C)). Premise 2: Not (not X and C) and not C. Premise 3: L. Conclusion : X.;0
Premise 1: If not Y then (M or (M implies H)). Premise 2: If not M then not not H. Premise 3: M. Conclusion : It is not the case that not H.;0
Premise 1: It is not the case that (V or not P). Premise 2: H. Premise 3: It is not the case that H. Conclusion : If not V then H.;1
Premise 1: It is not the case that B. Premise 2: N. Premise 3: B. Conclusion : V.;1
Premise 1: X and not C. Premise 2: (C iff C) and (X implies M). Premise 3: It is not the case that M. Conclusion : X and C.;1
Premise 1: F and P. Premise 2: If W then F. Premise 3: F and not F. Conclusion : It is not the case that (W and not W).;1
Premise 1: W and G. Premise 2: Either (J and J) or (G implies G). Premise 3: ((G iff W) implies J) and not G. Conclusion : If not not W then not W.;1
Premise 1: Either (not J iff S) or not C. Premise 2: It is not the case that C. Premise 3: It is not the case that C. Conclusion : If J then (not C and S).;0
Premise 1: Either X or (not not X and not X). Premise 2: It is not the case that ((L or E) or E). Premise 3: Either (not X and L) or not not L. Conclusion : Either (E iff not X) or not L.;1
Premise 1: R. Premise 2: Not R and not R. Premise 3: It is not the case that (R implies K). Conclusion : Not R and (not F iff not R).;1
Premise 1: If H then (not H implies H). Premise 2: S. Premise 3: If not not H then S. Conclusion : It is not the case that L.;0
Premise 1: If not K then not K. Premise 2: K. Premise 3: If not not H then not V. Conclusion : Either not H or V.;0
Premise 1: Not I and (A and not T). Premise 2: Either (T or (T and not A)) or I. Premise 3: (I or A) and not A. Conclusion : I.;1
Premise 1: H. Premise 2: If W then not H. Premise 3: If (L and not W) then H. Conclusion : It is not the case that H.;0
Premise 1: It is not the case that (not S or (not I iff I)). Premise 2: C. Premise 3: If (I or not S) then not S. Conclusion : C and (I and I).;0
Premise 1: ((not K or K) and not A) if and only if K. Premise 2: Either S or (S implies (K or S)). Premise 3: A. Conclusion : If not K then not A.;0
Premise 1: Either P or (P and C). Premise 2: C. Premise 3: It is not the case that ((not C or P) implies not C). Conclusion : It is not the case that C.;0
Premise 1: A. Premise 2: R. Premise 3: (not not R or not R) and R. Conclusion : If R then not A.;0
Premise 1: M. Premise 2: Either (not Y and not Y) or not Y. Premise 3: Y and (not Y implies not G). Conclusion : Y.;1
Premise 1: It is not the case that B. Premise 2: Either B or ((not S or P) or S). Premise 3: It is not the case that P. Conclusion : B.;0
Premise 1: Either (not X implies X) or (not I iff X). Premise 2: X. Premise 3: X and I. Conclusion : Either not I or (H implies not X).;0
Premise 1: It is not the case that not N. Premise 2: Not N if and only if V. Premise 3: V if and only if not V. Conclusion : It is not the case that V.;1
Premise 1: It is not the case that (T implies M). Premise 2: If (T implies not B) then not M. Premise 3: If B then (M iff (not B and B)). Conclusion : (M or M) and M.;0
Premise 1: J if and only if ((J iff not J) implies Y). Premise 2: It is not the case that (J implies Y). Premise 3: (G and Y) if and only if J. Conclusion : Y and Y.;1
Premise 1: If (E or (not S and E)) then E. Premise 2: Not S if and only if not E. Premise 3: If J then E. Conclusion : (E implies S) and J.;0
Premise 1: If not C then C. Premise 2: N. Premise 3: C and (not C and (S implies not C)). Conclusion : N.;1
Premise 1: It is not the case that (not B and B). Premise 2: Either B or not R. Premise 3: R. Conclusion : It is not the case that R.;0
Premise 1: It is not the case that not not H. Premise 2: It is not the case that J. Premise 3: If not X then (J or H). Conclusion : H and X.;0
Premise 1: If (N or V) then not N. Premise 2: N. Premise 3: Either not N or N. Conclusion : It is not the case that not V.;1
Premise 1: If not M then (Y or E). Premise 2: E. Premise 3: E. Conclusion : It is not the case that not not E.;0
Premise 1: M. Premise 2: M. Premise 3: E. Conclusion : Either E or U.;1
Premise 1: O. Premise 2: It is not the case that D. Premise 3: D. Conclusion : D.;1
Premise 1: It is not the case that K. Premise 2: Either G or not R. Premise 3: K. Conclusion : R and K.;1
Premise 1: E and (M or E). Premise 2: It is not the case that not not M. Premise 3: Not M and S. Conclusion : Either E or M.;1
Premise 1: It is not the case that (O or O). Premise 2: W. Premise 3: (E or not W) and not E. Conclusion : It is not the case that E.;1
Premise 1: Not K and not Y. Premise 2: Either not (not D implies D) or not D. Premise 3: (not D and Y) and Y. Conclusion : It is not the case that not Y.;1
Premise 1: C. Premise 2: It is not the case that R. Premise 3: If not C then not C. Conclusion : It is not the case that J.;0
Premise 1: It is not the case that (G and K). Premise 2: T. Premise 3: It is not the case that G. Conclusion : Either not G or not not T.;1
Premise 1: Either not C or not O. Premise 2: If not U then (O implies O). Premise 3: Not U and U. Conclusion : U.;1
Premise 1: (L or W) and not W. Premise 2: (not W or W) and (F implies L). Premise 3: (W and L) and not not F. Conclusion : F.;1
Premise 1: It is not the case that (not L implies not G). Premise 2: ((not L and G) or not W) and not L. Premise 3: G. Conclusion : It is not the case that W.;0
Premise 1: It is not the case that O. Premise 2: O and O. Premise 3: Either O or (O or not O). Conclusion : G and not not G.;1
Premise 1: Not M and G. Premise 2: If M then not G. Premise 3: It is not the case that (not M implies not V). Conclusion : Not M and not V.;0
Premise 1: T. Premise 2: (D or D) if and only if (not K or K). Premise 3: Either T or (not D and not T). Conclusion : Either K or T.;1
Premise 1: W and not P. Premise 2: (W implies F) and not P. Premise 3: W. Conclusion : Not P and not not W.;1
Premise 1: Either not L or (D implies not D). Premise 2: If L then (D and (D iff D)). Premise 3: Y. Conclusion : D.;0
Premise 1: If not I then T. Premise 2: T. Premise 3: I and T. Conclusion : If not G then I.;1
Premise 1: If not I then (not I and not U). Premise 2: If (U and B) then B. Premise 3: U. Conclusion : B and (U and not I).;0
Premise 1: It is not the case that (not J implies T). Premise 2: Either not A or (A or not J). Premise 3: Either J or not J. Conclusion : It is not the case that not J.;0
Premise 1: Either not K or not C. Premise 2: If T then T. Premise 3: (not C or not K) and (T or K). Conclusion : If T then T.;1
Premise 1: It is not the case that not not C. Premise 2: If (not I implies W) then (I implies W). Premise 3: C if and only if (I or (W or I)). Conclusion : Not I and W.;0
Premise 1: J if and only if B. Premise 2: It is not the case that B. Premise 3: J and not B. Conclusion : If not S then S.;1
Premise 1: It is not the case that N. Premise 2: (N and T) and (T or N). Premise 3: Either F or not N. Conclusion : N.;1
Premise 1: If not O then C. Premise 2: Either (not O and C) or C. Premise 3: It is not the case that C. Conclusion : It is not the case that (not O implies X).;1
Premise 1: If B then (K or (S or B)). Premise 2: It is not the case that not B. Premise 3: If B then (K or K). Conclusion : K and K.;1
Premise 1: It is not the case that (E implies (V or not E)). Premise 2: If E then I. Premise 3: (not I implies (V and E)) and not E. Conclusion : Either not E or (I or V).;1
Premise 1: If D then L. Premise 2: Not (R or R) and L. Premise 3: D. Conclusion : Either D or R.;1
Premise 1: M. Premise 2: If (not M and B) then V. Premise 3: If V then ((not B or M) and V). Conclusion : Not B and not V.;0
Premise 1: It is not the case that P. Premise 2: T. Premise 3: T if and only if not E. Conclusion : P.;0
Premise 1: N. Premise 2: If not A then (not not V implies N). Premise 3: It is not the case that A. Conclusion : Either N or not V.;1
Premise 1: It is not the case that not D. Premise 2: L and (not L or (not L or not D)). Premise 3: D and (Y iff L). Conclusion : If not L then not L.;1
Premise 1: It is not the case that X. Premise 2: Either (not A or X) or (X and A). Premise 3: It is not the case that O. Conclusion : If O then (O and X).;1
Premise 1: S and (not S or I). Premise 2: S. Premise 3: S and S. Conclusion : C.;0
Premise 1: If E then (O or W). Premise 2: It is not the case that W. Premise 3: It is not the case that O. Conclusion : O.;0
Premise 1: (J implies Y) and not F. Premise 2: Not J and not F. Premise 3: (not J or not F) and J. Conclusion : If (J and Y) then J.;1
Premise 1: A. Premise 2: It is not the case that M. Premise 3: M. Conclusion : Either not M or not Y.;1
Premise 1: (not G implies S) and G. Premise 2: G and not S. Premise 3: Not G and not S. Conclusion : It is not the case that (S implies G).;1
Premise 1: It is not the case that (H or N). Premise 2: S. Premise 3: It is not the case that S. Conclusion : N.;1
Premise 1: It is not the case that not not P. Premise 2: Not P and (P or (P and not A)). Premise 3: It is not the case that A. Conclusion : It is not the case that P.;1
Premise 1: L. Premise 2: X. Premise 3: X. Conclusion : It is not the case that L.;0
Premise 1: Either (not M implies S) or (not M and M). Premise 2: If M then H. Premise 3: It is not the case that ((M or not H) implies H). Conclusion : M.;0
Premise 1: D and (J implies J). Premise 2: J and not D. Premise 3: It is not the case that (J and not J). Conclusion : It is not the case that (not T or not D).;1
Premise 1: O. Premise 2: R. Premise 3: If not H then ((not H or H) implies H). Conclusion : It is not the case that R.;0
Premise 1: Either not J or ((J or D) and V). Premise 2: (J implies J) and (D and D). Premise 3: (not V or D) and J. Conclusion : If (not D implies J) then D.;1
Premise 1: E. Premise 2: L and V. Premise 3: E. Conclusion : (not E implies V) and not E.;0
Premise 1: It is not the case that X. Premise 2: It is not the case that not (O iff not E). Premise 3: It is not the case that not O. Conclusion : X.;0
Premise 1: T. Premise 2: It is not the case that K. Premise 3: (not K and T) and C. Conclusion : Either (T or C) or K.;1
Premise 1: Either (not M implies not M) or F. Premise 2: If M then (F implies (not M implies F)). Premise 3: It is not the case that ((F and F) or M). Conclusion : Y.;0
Premise 1: If D then not R. Premise 2: M. Premise 3: If not (D and D) then M. Conclusion : D and (M or D).;0
Premise 1: It is not the case that not R. Premise 2: If H then not R. Premise 3: It is not the case that R. Conclusion : H.;1
Premise 1: It is not the case that (not N and not A). Premise 2: It is not the case that (A and (X implies A)). Premise 3: A. Conclusion : Either not X or N.;1
Premise 1: If not R then H. Premise 2: R. Premise 3: Either not L or R. Conclusion : Either R or H.;1
Premise 1: It is not the case that (O and not O). Premise 2: It is not the case that A. Premise 3: W. Conclusion : It is not the case that W.;0
Premise 1: Either (not A and P) or not A. Premise 2: V. Premise 3: It is not the case that A. Conclusion : It is not the case that not V.;1
Premise 1: Either H or P. Premise 2: Either (not H or P) or T. Premise 3: H if and only if T. Conclusion : P.;0
Premise 1: K. Premise 2: D. Premise 3: If not K then not K. Conclusion : It is not the case that D.;0
Premise 1: It is not the case that P. Premise 2: If (P and P) then (Y or not Y). Premise 3: G if and only if P. Conclusion : (Y or Y) if and only if not G.;0
Premise 1: If J then (D or D). Premise 2: Either not not D or X. Premise 3: (D iff D) if and only if (J or J). Conclusion : It is not the case that J.;0
Premise 1: C. Premise 2: C and not Y. Premise 3: It is not the case that (C or (Y implies not P)). Conclusion : Either P or (not C and not P).;1
Premise 1: A. Premise 2: If not U then (A implies not U). Premise 3: (P implies (A and P)) and not P. Conclusion : If U then not P.;1
Premise 1: (not D or M) and not M. Premise 2: If D then not (not S and not S). Premise 3: If S then M. Conclusion : D and not M.;0
Premise 1: Either I or not I. Premise 2: I. Premise 3: E. Conclusion : E.;1
Premise 1: It is not the case that ((not T implies not B) implies not I). Premise 2: (T or not T) and B. Premise 3: If B then not not I. Conclusion : It is not the case that I.;0
Premise 1: Either (D implies D) or D. Premise 2: D. Premise 3: It is not the case that V. Conclusion : Not L and D.;0
Premise 1: It is not the case that (not Y and not not G). Premise 2: G and not G. Premise 3: Not G if and only if G. Conclusion : It is not the case that Y.;1
Premise 1: If (D and X) then D. Premise 2: Not (not X implies D) and X. Premise 3: ((I and I) and I) and D. Conclusion : Not X and not X.;1
Premise 1: A and W. Premise 2: Either (not W and not I) or not W. Premise 3: It is not the case that (not A implies W). Conclusion : A and A.;1
Premise 1: E. Premise 2: O and ((O iff E) and not T). Premise 3: It is not the case that T. Conclusion : Either (O or E) or not E.;1
Premise 1: J. Premise 2: Not not C and J. Premise 3: X. Conclusion : It is not the case that not X.;1
Premise 1: It is not the case that X. Premise 2: It is not the case that L. Premise 3: It is not the case that not X. Conclusion : Either (L or L) or not X.;1
Premise 1: If (U or not L) then L. Premise 2: Not A and (U and U). Premise 3: A. Conclusion : L.;1
Premise 1: U if and only if U. Premise 2: Not C and not C. Premise 3: If (not M or M) then M. Conclusion : It is not the case that U.;0
Premise 1: It is not the case that M. Premise 2: H. Premise 3: It is not the case that (V implies H). Conclusion : Not M and not H.;1
Premise 1: Either U or I. Premise 2: If (not U or F) then U. Premise 3: If (U implies U) then (U implies F). Conclusion : I if and only if not I.;0
Premise 1: It is not the case that not (not B implies not R). Premise 2: It is not the case that not B. Premise 3: It is not the case that not R. Conclusion : If (B and R) then B.;1
Premise 1: U if and only if not not E. Premise 2: E. Premise 3: Either E or not E. Conclusion : Not O and E.;0
Premise 1: If (not D implies (S or D)) then L. Premise 2: If not S then ((S implies L) implies not S). Premise 3: Either S or (L implies D). Conclusion : Either L or D.;0
Premise 1: Either not V or not not V. Premise 2: Either not not V or (H or not H). Premise 3: If (H and (O implies not V)) then H. Conclusion : H.;0
Premise 1: ((I or B) implies not B) and B. Premise 2: V. Premise 3: Not V and V. Conclusion : If I then (not B and B).;1
Premise 1: L if and only if F. Premise 2: Either (not L and L) or not R. Premise 3: Not F and L. Conclusion : Not F and (R iff not L).;1
Premise 1: It is not the case that not D. Premise 2: If ((L implies L) implies T) then D. Premise 3: If not not T then L. Conclusion : D and not not D.;1
Premise 1: Not F and (F implies F). Premise 2: If (O and Y) then not F. Premise 3: Either ((O or not F) and Y) or not O. Conclusion : It is not the case that O.;0
Premise 1: If (K or K) then (not E implies E). Premise 2: It is not the case that (E implies (E or X)). Premise 3: K. Conclusion : K and K.;1
Premise 1: Either not E or not K. Premise 2: If (not E and K) then not E. Premise 3: S. Conclusion : E.;0
Premise 1: If (J implies V) then V. Premise 2: If A then J. Premise 3: If not J then not not J. Conclusion : J.;1
Premise 1: It is not the case that T. Premise 2: P. Premise 3: If not D then ((D and D) implies T). Conclusion : If P then (not P and not P).;0
